date,equity_before,num_sells,num_buys,turnover,slippage,qualifying_stocks,holdings
2020-03-19,1000000.0,0,1,1960000.0,392.0,1,['WST']
2020-04-02,1229617.0190589172,1,1,4599977.365767812,919.9954731535626,1,['WST']
2020-04-16,1411992.3400220112,1,3,5359834.705259954,1071.9669410519907,3,"['NEM', 'WST', 'BMY']"
2020-04-30,1638029.7844705957,3,4,6202375.685333064,1240.475137066613,4,"['NEM', 'WST', 'TGT', 'BMY']"
2020-05-14,1978060.251044721,4,6,7427515.360195116,1485.5030720390232,6,"['NEM', 'WST', 'TGT', 'AAPL', 'CLX', 'BMY']"
2020-05-28,1859690.9410564143,6,6,7401139.211541394,1480.227842308279,6,"['NEM', 'AAPL', 'WST', 'TGT', 'CLX', 'BMY']"
2020-06-11,1845366.7057558077,6,4,7244330.77748957,1448.866155497914,4,"['AAPL', 'WST', 'NEM', 'CLX']"
2020-06-25,2133055.072653066,4,12,8085324.957593705,1617.0649915187412,14,"['AAPL', 'WST', 'NEM', 'MSFT', 'ABBV', 'LLY', 'SPGI', 'CLX', 'TGT', 'LOW', 'FAST', 'BMY']"
2020-07-09,2344648.828884499,12,12,8986513.219905432,1797.3026439810865,15,"['WST', 'AAPL', 'NEM', 'MSFT', 'CLX', 'SPGI', 'LLY', 'ABBV', 'AMGN', 'FAST', 'TGT', 'LOW']"
2020-07-23,2452574.105199057,12,12,9507993.748876754,1901.598749775351,27,"['WST', 'AAPL', 'NEM', 'ABBV', 'LLY', 'AMGN', 'FAST', 'MSFT', 'LOW', 'SPGI', 'CLX', 'BMY']"
2020-08-06,2717871.08600057,12,12,10395541.525526343,2079.1083051052688,40,"['AAPL', 'WST', 'NEM', 'FAST', 'QCOM', 'MSFT', 'TGT', 'LOW', 'CLX', 'ABBV', 'FCX', 'SPGI']"
2020-08-20,2804014.9715310545,12,12,10905211.50671848,2181.0423013436957,42,"['AAPL', 'WST', 'NEM', 'FCX', 'FAST', 'MSFT', 'TGT', 'LOW', 'ABBV', 'QCOM', 'CLX', 'BLK']"
2020-09-03,2817805.536740793,12,12,11029672.741301067,2205.9345482602143,43,"['AAPL', 'WST', 'NEM', 'FCX', 'MSFT', 'FAST', 'QCOM', 'ALB', 'ABBV', 'LOW', 'UNH', 'BLK']"
2020-09-17,2812209.996351358,12,12,11024064.475512493,2204.8128951024987,48,"['AAPL', 'WST', 'NEM', 'FCX', 'ALB', 'QCOM', 'LOW', 'MSFT', 'TGT', 'APD', 'SPGI', 'FAST']"
2020-10-01,2795700.3710784297,12,12,10973732.028402062,2194.7464056804124,47,"['AAPL', 'WST', 'FCX', 'NEM', 'QCOM', 'LOW', 'MSFT', 'SPGI', 'TGT', 'UPS', 'FAST', 'UNH']"
2020-10-15,3000986.877894706,12,12,11566777.952199873,2313.355590439974,53,"['WST', 'AAPL', 'FCX', 'QCOM', 'NEM', 'LOW', 'MSFT', 'UPS', 'TGT', 'CLX', 'BLK', 'ALB']"
2020-10-29,2763681.2545671836,12,12,11060147.497471714,2212.029499494343,36,"['AAPL', 'WST', 'FCX', 'QCOM', 'NEM', 'ALB', 'LOW', 'TGT', 'MSFT', 'UPS', 'CLX', 'NKE']"
2020-11-12,3126353.586943454,12,12,11902310.859556876,2380.462171911375,39,"['WST', 'ALB', 'AAPL', 'FCX', 'NEM', 'QCOM', 'TGT', 'MSFT', 'CLX', 'DE', 'LOW', 'UNH']"
2020-11-27,3339963.8313216027,12,12,12884813.492069677,2576.962698413935,35,"['ALB', 'FCX', 'WST', 'AAPL', 'QCOM', 'DE', 'NEM', 'BLK', 'TGT', 'UPS', 'NKE', 'MSFT']"
2020-12-11,3371192.4233132503,12,12,13176603.843752239,2635.3207687504478,39,"['ALB', 'FCX', 'AAPL', 'WST', 'QCOM', 'DE', 'UPS', 'NEM', 'BLK', 'NKE', 'MSFT', 'TGT']"
2020-12-28,3666222.1587849427,12,12,14088335.71260164,2817.6671425203285,36,"['ALB', 'AAPL', 'FCX', 'WST', 'QCOM', 'DE', 'UPS', 'BLK', 'MSFT', 'AVGO', 'NEM', 'NKE']"
2021-01-11,4199885.610372055,12,12,15949366.2513871,3189.8732502774196,44,"['ALB', 'FCX', 'WST', 'QCOM', 'DE', 'AAPL', 'TGT', 'AVGO', 'BLK', 'MS', 'NEM', 'NKE']"
2021-01-25,4166626.9352098405,12,12,16364202.671311472,3272.8405342622946,38,"['FCX', 'ALB', 'WST', 'QCOM', 'AAPL', 'DE', 'TGT', 'LLY', 'AVGO', 'LOW', 'UPS', 'NEM']"
2021-02-08,4177941.1043905937,12,12,16364948.016560234,3272.9896033120467,35,"['FCX', 'ALB', 'DE', 'WST', 'QCOM', 'AAPL', 'TGT', 'UPS', 'AVGO', 'CAT', 'LOW', 'AOS']"
2021-02-22,4254790.213126079,12,12,16601023.258789022,3320.2046517578046,37,"['FCX', 'DE', 'ALB', 'TGT', 'QCOM', 'AVGO', 'CAT', 'UPS', 'AAPL', 'WST', 'MS', 'LLY']"
2021-03-08,3848608.8053856567,12,12,15474800.49825463,3094.9600996509257,76,"['FCX', 'DE', 'MS', 'SCHW', 'DD', 'CAT', 'FITB', 'GS', 'UPS', 'WST', 'NUE', 'CFG']"
2021-03-22,4083884.285476516,12,12,15782888.290485494,3156.577658097099,123,"['FCX', 'DE', 'FITB', 'MPC', 'ALB', 'MS', 'LOW', 'OXY', 'CFG', 'PNR', 'MET', 'RF']"
2021-04-05,4037573.592036367,12,12,15866906.265941005,3173.3812531882013,117,"['FCX', 'ALB', 'FITB', 'CFG', 'DE', 'MPC', 'RF', 'DD', 'LOW', 'MS', 'NUE', 'MET']"
2021-04-19,4263478.944116257,12,12,16491283.475509118,3298.2566951018234,106,"['FCX', 'DE', 'ALB', 'FITB', 'CFG', 'RF', 'MPC', 'NUE', 'LOW', 'MS', 'HBAN', 'DD']"
2021-05-03,4488379.8071016725,12,12,17370319.090946138,3474.0638181892277,115,"['FCX', 'ALB', 'DE', 'FITB', 'UPS', 'CFG', 'RF', 'MS', 'NUE', 'AIG', 'CAT', 'KEY']"
2021-05-17,5132337.289885363,12,12,19500462.3584691,3900.09247169382,112,"['FCX', 'DE', 'NUE', 'FITB', 'CFG', 'RF', 'ALB', 'KEY', 'CINF', 'UPS', 'MS', 'GE']"
2021-06-01,5375846.103706875,12,12,20834278.69693747,4166.8557393874935,107,"['FCX', 'NUE', 'DE', 'ALB', 'FITB', 'UPS', 'RF', 'CFG', 'MS', 'CINF', 'GE', 'SCHW']"
2021-06-15,4679345.071318873,12,12,19006890.116581563,3801.3780233163125,113,"['FCX', 'NUE', 'DE', 'ALB', 'CINF', 'SCHW', 'TGT', 'UPS', 'MS', 'FITB', 'CFG', 'GE']"
2021-06-29,4619891.722745249,12,12,18156425.286852784,3631.2850573705564,111,"['FCX', 'NUE', 'DE', 'SCHW', 'ALB', 'FITB', 'TGT', 'CFG', 'MS', 'GS', 'UPS', 'GE']"
2021-07-13,4644069.171374451,12,12,18181275.248731516,3636.2550497463026,108,"['FCX', 'NUE', 'ALB', 'DE', 'TGT', 'SCHW', 'FITB', 'RF', 'CFG', 'GE', 'PNC', 'UPS']"
2021-07-27,4667347.817750605,12,12,18267227.852602124,3653.445570520424,103,"['FCX', 'NUE', 'ALB', 'TGT', 'DE', 'SCHW', 'GE', 'FITB', 'MS', 'RF', 'GS', 'CFG']"
2021-08-10,5411896.772679715,12,12,20493164.485795498,4098.6328971591,105,"['ALB', 'FCX', 'NUE', 'SCHW', 'MS', 'WFC', 'TGT', 'DE', 'GE', 'GS', 'FITB', 'RF']"
2021-08-24,5130077.909978772,12,12,20375002.59843398,4075.000519686794,107,"['NUE', 'ALB', 'FCX', 'SCHW', 'MS', 'GS', 'WFC', 'GE', 'FITB', 'AIG', 'RF', 'DE']"
2021-09-07,5120284.220833001,12,12,20074558.05706861,4014.9116114137228,107,"['ALB', 'NUE', 'FCX', 'OXY', 'MS', 'GE', 'SCHW', 'GS', 'AIG', 'FITB', 'MPC', 'WFC']"
2021-09-21,4423583.450029061,12,12,18004778.149696484,3600.955629939298,105,"['ALB', 'OXY', 'NUE', 'MS', 'AIG', 'GS', 'SCHW', 'FCX', 'MPC', 'EOG', 'WFC', 'GE']"
2021-10-05,5301584.777285362,12,12,19935789.262410253,3987.157852482051,95,"['OXY', 'EOG', 'ALB', 'MPC', 'COP', 'NUE', 'MS', 'ZION', 'SCHW', 'GE', 'AIG', 'FITB']"
2021-10-19,5573807.44669478,12,12,21586411.8457805,4317.282369156102,95,"['OXY', 'EOG', 'ALB', 'MPC', 'COP', 'SLB', 'FCX', 'WFC', 'VLO', 'NUE', 'ZION', 'SCHW']"
2021-11-02,5813787.042687981,12,12,22555818.975705102,4511.16379514102,103,"['OXY', 'EOG', 'ALB', 'COP', 'WFC', 'GS', 'NUE', 'SLB', 'MS', 'MPC', 'FCX', 'XOM']"
2021-11-16,5734571.179591183,12,12,22544985.050158508,4508.997010031702,92,"['OXY', 'ALB', 'NUE', 'EOG', 'WFC', 'COP', 'FCX', 'LLY', 'GS', 'XOM', 'MS', 'SCHW']"
2021-11-30,5147384.376747735,12,12,20741356.903678887,4148.271380735777,80,"['NUE', 'ALB', 'EOG', 'OXY', 'COP', 'WFC', 'LLY', 'FITB', 'GS', 'ZION', 'XOM', 'MPC']"
2021-12-14,5058063.160961848,12,12,19898442.49409668,3979.6884988193365,87,"['NUE', 'ALB', 'EOG', 'WFC', 'COP', 'FITB', 'ORCL', 'GS', 'SCHW', 'MS', 'WST', 'FCX']"
2021-12-28,5261487.1972048255,12,12,20426273.801755287,4085.2547603510575,90,"['NUE', 'EOG', 'COP', 'FCX', 'OXY', 'LLY', 'WST', 'MPC', 'FITB', 'WFC', 'PFE', 'SCHW']"
2022-01-11,5678915.916457943,12,12,21853801.714138873,4370.760342827774,87,"['NUE', 'COP', 'EOG', 'WFC', 'MPC', 'FITB', 'PFE', 'XOM', 'SCHW', 'AIG', 'OXY', 'LOW']"
2022-01-25,5399133.30113568,12,12,21426554.024616316,4285.310804923262,71,"['COP', 'EOG', 'NUE', 'OXY', 'SLB', 'XOM', 'WFC', 'MPC', 'SCHW', 'CVX', 'FITB', 'AIG']"
2022-02-08,6239801.465115794,12,12,23642950.79082468,4728.590158164936,74,"['NUE', 'EOG', 'COP', 'WFC', 'SCHW', 'MPC', 'XOM', 'OXY', 'CVX', 'FITB', 'PRU', 'PFE']"
2022-02-22,5726958.975325098,12,12,22912973.00036177,4582.594600072353,58,"['NUE', 'COP', 'EOG', 'WFC', 'EXC', 'COST', 'OXY', 'XOM', 'PFE', 'SLB', 'ABBV', 'UNH']"
2022-03-08,7247528.24405658,12,12,26945640.929602135,5389.128185920426,43,"['NUE', 'OXY', 'COP', 'EOG', 'COST', 'CVX', 'SLB', 'XOM', 'EXC', 'ABBV', 'GD', 'PFE']"
2022-03-22,7964370.116750261,12,12,30519054.5056685,6103.8109011337,60,"['OXY', 'NUE', 'COP', 'EOG', 'CVX', 'COST', 'ABBV', 'LLY', 'SLB', 'MPC', 'XOM', 'FCX']"
2022-04-05,7858984.091640943,12,12,30901027.41886546,6180.205483773092,49,"['OXY', 'COP', 'NUE', 'EOG', 'CVX', 'LLY', 'MPC', 'ABBV', 'COST', 'BRO', 'XOM', 'EXC']"
2022-04-19,8489041.05052385,12,12,32664884.67417743,6532.976934835488,48,"['OXY', 'NUE', 'COP', 'EOG', 'MPC', 'CVX', 'SLB', 'XOM', 'VLO', 'COST', 'LLY', 'EXC']"
2022-05-03,7623479.048715174,12,12,30709956.93415492,6141.991386830983,27,"['OXY', 'COP', 'NUE', 'EOG', 'MPC', 'VLO', 'CVX', 'XOM', 'LLY', 'EXC', 'SLB', 'COST']"
2022-05-17,8119889.707608231,12,12,31324415.428136185,6264.883085627238,27,"['OXY', 'COP', 'CVX', 'VLO', 'MPC', 'EOG', 'XOM', 'LLY', 'EXC', 'AVGO', 'ABBV', 'PFE']"
2022-05-31,8472333.968855156,12,12,32863370.552596472,6572.674110519294,26,"['OXY', 'COP', 'EOG', 'CVX', 'MPC', 'XOM', 'VLO', 'LLY', 'EXC', 'ALB', 'PFE', 'ABBV']"
2022-06-14,7111110.366743485,12,12,29161429.854762506,5832.285970952502,14,"['OXY', 'COP', 'VLO', 'MPC', 'EOG', 'CVX', 'XOM', 'LLY', 'EXC', 'PFE', 'ABBV', 'CB']"
2022-06-28,6861673.1241391655,12,12,27123461.736329414,5424.692347265881,19,"['OXY', 'COP', 'VLO', 'EOG', 'XOM', 'MPC', 'CVX', 'EXC', 'LLY', 'ABBV', 'PFE', 'ED']"
2022-07-12,6212463.090663033,12,12,24975940.980638772,4995.188196127754,17,"['OXY', 'VLO', 'MPC', 'XOM', 'COP', 'EXC', 'CVX', 'LLY', 'PFE', 'ABBV', 'ED', 'UNH']"
2022-07-26,6810433.818057276,12,12,26117343.203296565,5223.468640659313,18,"['OXY', 'VLO', 'MPC', 'COP', 'XOM', 'CVX', 'EOG', 'EXC', 'LLY', 'ED', 'ABBV', 'MTB']"
2022-08-09,6851337.480629594,12,12,26812199.580098275,5362.439916019656,24,"['OXY', 'COP', 'VLO', 'MPC', 'EOG', 'XOM', 'CVX', 'EXC', 'ED', 'MTB', 'UNH', 'AJG']"
2022-08-23,8064694.359981414,12,12,30417006.736819305,6083.4013473638615,29,"['OXY', 'COP', 'VLO', 'EOG', 'MPC', 'XOM', 'CVX', 'SLB', 'PSX', 'MTB', 'CAH', 'ED']"
2022-09-06,7232966.038633203,12,12,29135316.939236727,5827.063387847346,21,"['OXY', 'COP', 'EOG', 'VLO', 'XOM', 'MPC', 'CVX', 'CAH', 'ED', 'MTB', 'GPC', 'SRE']"
2022-09-20,7022325.908601022,12,12,27713552.824549764,5542.71056490995,32,"['OXY', 'COP', 'EOG', 'XOM', 'VLO', 'MPC', 'CVX', 'MTB', 'SLB', 'ABBV', 'ED', 'CAH']"
2022-10-04,7425707.20903328,12,12,28701394.76466801,5740.2789529336005,27,"['OXY', 'MPC', 'COP', 'VLO', 'XOM', 'EOG', 'CVX', 'LLY', 'CAH', 'UNH', 'ABBV', 'GPC']"
2022-10-18,7675437.710548773,12,12,29839571.48911044,5967.914297822088,19,"['OXY', 'XOM', 'MPC', 'COP', 'VLO', 'CVX', 'CAH', 'EOG', 'LLY', 'ABBV', 'GPC', 'BMY']"
2022-11-01,8936384.783798538,12,12,33819858.47694432,6763.971695388864,24,"['OXY', 'MPC', 'COP', 'XOM', 'VLO', 'CVX', 'CAH', 'EOG', 'SLB', 'LMT', 'PSX', 'LLY']"
2022-11-15,9290755.384573944,12,12,36052743.40634342,7210.548681268684,22,"['OXY', 'COP', 'VLO', 'MPC', 'XOM', 'EOG', 'SLB', 'CVX', 'CAH', 'PSX', 'LMT', 'AMGN']"
