symbol,trading_days,has_min_data,null_pct,start_date,end_date
PM,1736,True,0.0,2019-01-09,2025-12-03
NUE,1735,True,0.0,2019-01-10,2025-12-03
AON,1736,True,0.0,2019-01-09,2025-12-03
MO,1736,True,0.0,2019-01-09,2025-12-03
PNR,1735,True,0.0,2019-01-10,2025-12-03
PG,1736,True,0.0,2019-01-09,2025-12-03
JNJ,1736,True,0.0,2019-01-09,2025-12-03
DOV,1735,True,0.0,2019-01-10,2025-12-03
CTAS,1736,True,0.0,2019-01-09,2025-12-03
WST,1735,True,0.0,2019-01-10,2025-12-03
XEL,1735,True,0.0,2019-01-10,2025-12-03
UNP,1736,True,0.0,2019-01-09,2025-12-03
SO,1736,True,0.0,2019-01-09,2025-12-03
DD,1735,True,0.0,2019-01-10,2025-12-03
KMB,1735,True,0.0,2019-01-10,2025-12-03
ALB,1735,True,0.0,2019-01-10,2025-12-03
AFL,1736,True,0.0,2019-01-09,2025-12-03
AOS,1735,True,0.0,2019-01-10,2025-12-03
PFE,1736,True,0.0,2019-01-09,2025-12-03
TRV,1736,True,0.0,2019-01-09,2025-12-03
MKC,1735,True,0.0,2019-01-10,2025-12-03
MCD,1736,True,0.0,2019-01-09,2025-12-03
AEP,1736,True,0.0,2019-01-09,2025-12-03
BMY,1736,True,0.0,2019-01-09,2025-12-03
MS,1736,True,0.0,2019-01-09,2025-12-03
CAH,1736,True,0.0,2019-01-09,2025-12-03
RTX,1736,True,0.0,2019-01-09,2025-12-03
FITB,1735,True,0.0,2019-01-10,2025-12-03
AIG,1735,True,0.0,2019-01-10,2025-12-03
OXY,1735,True,0.0,2019-01-10,2025-12-03
IBM,1736,True,0.0,2019-01-09,2025-12-03
VLO,1736,True,0.0,2019-01-09,2025-12-03
EXPD,1735,True,0.0,2019-01-10,2025-12-03
ORCL,1736,True,0.0,2019-01-09,2025-12-03
HON,1736,True,0.0,2019-01-09,2025-12-03
SRE,1736,True,0.0,2019-01-09,2025-12-03
VZ,1736,True,0.0,2019-01-09,2025-12-03
SJM,1735,True,0.0,2019-01-10,2025-12-03
BRO,1735,True,0.0,2019-01-10,2025-12-03
SLB,1736,True,0.0,2019-01-09,2025-12-03
JPM,1736,True,0.0,2019-01-09,2025-12-03
GPC,1735,True,0.0,2019-01-10,2025-12-03
APD,1736,True,0.0,2019-01-09,2025-12-03
MRK,1736,True,0.0,2019-01-09,2025-12-03
MSFT,1736,True,0.0,2019-01-09,2025-12-03
ITW,1736,True,0.0,2019-01-09,2025-12-03
TROW,1735,True,0.0,2019-01-10,2025-12-03
TFC,1736,True,0.0,2019-01-09,2025-12-03
AMGN,1736,True,0.0,2019-01-09,2025-12-03
EMR,1736,True,0.0,2019-01-09,2025-12-03
PEP,1736,True,0.0,2019-01-09,2025-12-03
ZION,1735,True,0.0,2019-01-10,2025-12-03
COP,1736,True,0.0,2019-01-09,2025-12-03
XOM,1736,True,0.0,2019-01-09,2025-12-03
EOG,1736,True,0.0,2019-01-09,2025-12-03
CAT,1736,True,0.0,2019-01-09,2025-12-03
MET,1736,True,0.0,2019-01-09,2025-12-03
NEM,1736,True,0.0,2019-01-09,2025-12-03
ADP,1736,True,0.0,2019-01-09,2025-12-03
CLX,1735,True,0.0,2019-01-10,2025-12-03
HRL,1735,True,0.0,2019-01-10,2025-12-03
BEN,1735,True,0.0,2019-01-10,2025-12-03
SYY,1735,True,0.0,2019-01-10,2025-12-03
MMM,1736,True,0.0,2019-01-09,2025-12-03
MPC,1736,True,0.0,2019-01-09,2025-12-03
CL,1736,True,0.0,2019-01-09,2025-12-03
LOW,1736,True,0.0,2019-01-09,2025-12-03
D,1736,True,0.0,2019-01-09,2025-12-03
KEY,1735,True,0.0,2019-01-10,2025-12-03
FCX,1736,True,0.0,2019-01-09,2025-12-03
NKE,1736,True,0.0,2019-01-09,2025-12-03
GILD,1736,True,0.0,2019-01-09,2025-12-03
PSX,1736,True,0.0,2019-01-09,2025-12-03
BF-B,1735,True,0.0,2019-01-10,2025-12-03
MTB,1735,True,0.0,2019-01-10,2025-12-03
BLK,1736,True,0.0,2019-01-09,2025-12-03
INTC,1736,True,0.0,2019-01-09,2025-12-03
T,1736,True,0.0,2019-01-09,2025-12-03
UNH,1736,True,0.0,2019-01-09,2025-12-03
ATO,1735,True,0.0,2019-01-10,2025-12-03
CVX,1736,True,0.0,2019-01-09,2025-12-03
AMCR,1735,True,0.0,2019-01-10,2025-12-03
SPGI,1736,True,0.0,2019-01-09,2025-12-03
WEC,1735,True,0.0,2019-01-10,2025-12-03
NEE,1736,True,0.0,2019-01-09,2025-12-03
AJG,1736,True,0.0,2019-01-09,2025-12-03
RF,1735,True,0.0,2019-01-10,2025-12-03
AVGO,1736,True,0.0,2019-01-09,2025-12-03
ALL,1736,True,0.0,2019-01-09,2025-12-03
SWK,1735,True,0.0,2019-01-10,2025-12-03
DUK,1736,True,0.0,2019-01-09,2025-12-03
ROP,1736,True,0.0,2019-01-09,2025-12-03
ABBV,1736,True,0.0,2019-01-09,2025-12-03
EXC,1735,True,0.0,2019-01-10,2025-12-03
TGT,1735,True,0.0,2019-01-10,2025-12-03
CB,1736,True,0.0,2019-01-09,2025-12-03
SHW,1736,True,0.0,2019-01-09,2025-12-03
PPG,1735,True,0.0,2019-01-10,2025-12-03
LLY,1736,True,0.0,2019-01-09,2025-12-03
UPS,1736,True,0.0,2019-01-09,2025-12-03
WMT,1736,True,0.0,2019-01-09,2025-12-03
LIN,1736,True,0.0,2019-01-09,2025-12-03
FAST,1735,True,0.0,2019-01-10,2025-12-03
COST,1736,True,0.0,2019-01-09,2025-12-03
USB,1736,True,0.0,2019-01-09,2025-12-03
C,1736,True,0.0,2019-01-09,2025-12-03
TXN,1736,True,0.0,2019-01-09,2025-12-03
LMT,1736,True,0.0,2019-01-09,2025-12-03
PNC,1736,True,0.0,2019-01-09,2025-12-03
GE,1736,True,0.0,2019-01-09,2025-12-03
GS,1736,True,0.0,2019-01-09,2025-12-03
CFG,1735,True,0.0,2019-01-10,2025-12-03
KO,1736,True,0.0,2019-01-09,2025-12-03
AAPL,1736,True,0.0,2019-01-09,2025-12-03
GD,1736,True,0.0,2019-01-09,2025-12-03
ECL,1736,True,0.0,2019-01-09,2025-12-03
ABT,1736,True,0.0,2019-01-09,2025-12-03
BAC,1736,True,0.0,2019-01-09,2025-12-03
HBAN,1735,True,0.0,2019-01-10,2025-12-03
SCHW,1736,True,0.0,2019-01-09,2025-12-03
MDT,1736,True,0.0,2019-01-09,2025-12-03
WFC,1736,True,0.0,2019-01-09,2025-12-03
CMCSA,1736,True,0.0,2019-01-09,2025-12-03
HD,1736,True,0.0,2019-01-09,2025-12-03
BDX,1736,True,0.0,2019-01-09,2025-12-03
DE,1736,True,0.0,2019-01-09,2025-12-03
ED,1735,True,0.0,2019-01-10,2025-12-03
CSCO,1736,True,0.0,2019-01-09,2025-12-03
QCOM,1736,True,0.0,2019-01-09,2025-12-03
MMC,1736,True,0.0,2019-01-09,2025-12-03
CINF,1735,True,0.0,2019-01-10,2025-12-03
PRU,1735,True,0.0,2019-01-10,2025-12-03
