symbol,name,market_cap,avg_dollar_volume,avg_volume,current_price,dividend_yield,trailing_annual_dividend,consecutive_dividend_years,sector,industry,exchange,currency
AAPL,Apple Inc.,4138242670592,14341993615.95,51432647,278.85,0.37,1.02,9,Technology,Consumer Electronics,NMS,USD
MSFT,Microsoft Corporation,3657192177664,10714518498.34,21777034,492.01,0.74,3.4,9,Technology,Software - Infrastructure,NMS,USD
AVGO,Broadcom Inc.,1902924136448,9889646202.96,24542501,402.96,0.59,2.36,9,Technology,Semiconductors,NMS,USD
LLY,Eli Lilly and Company,964112351232,4075375263.3,3789390,1075.47,0.56,5.8,9,Healthcare,Drug Manufacturers - General,NYQ,USD
WMT,Walmart Inc.,881915985920,1872031995.8300002,16939933,110.51,0.85,0.913,9,Consumer Defensive,Discount Stores,NYQ,USD
JPM,JPMorgan Chase & Co.,860892889088,2595138904.7999997,8289060,313.08,1.92,5.55,9,Financial Services,Banks - Diversified,NYQ,USD
ORCL,Oracle Corporation,575717572608,5456665775.75,27019885,201.95,0.99,1.9,9,Technology,Software - Infrastructure,NYQ,USD
JNJ,Johnson & Johnson,498531336192,1806839717.4799998,8732069,206.92,2.51,5.08,9,Healthcare,Drug Manufacturers - General,NYQ,USD
XOM,Exxon Mobil Corporation,494195605504,1692875394.0,14603825,115.92,3.55,3.96,9,Energy,Oil & Gas Integrated,NYQ,USD
COST,Costco Wholesale Corporation,405156233216,2213688866.94,2423066,913.59,0.57,4.92,9,Consumer Defensive,Discount Stores,NMS,USD
ABBV,AbbVie Inc.,402433474560,1347825293.1,5919303,227.7,3.04,6.56,9,Healthcare,Drug Manufacturers - General,NYQ,USD
BAC,Bank of America Corporation,397382746112,1898475316.8999999,35386306,53.65,2.09,1.06,9,Financial Services,Banks - Diversified,NYQ,USD
HD,"The Home Depot, Inc.",355317972992,1326068802.1200001,3715311,356.92,2.58,9.2,9,Consumer Cyclical,Home Improvement Retail,NYQ,USD
PG,The Procter & Gamble Company,346766311424,1175220084.16,7932101,148.16,2.85,4.127,9,Consumer Defensive,Household & Personal Products,NYQ,USD
GE,GE Aerospace,316488155136,1200976827.1499999,4024047,298.45,0.48,1.36,9,Industrials,Aerospace & Defense,NYQ,USD
KO,The Coca-Cola Company,314684145664,1233198340.48,16865404,73.12,2.79,2.015,9,Consumer Defensive,Beverages - Non-Alcoholic,NYQ,USD
CVX,Chevron Corporation,304500113408,1146337069.78,7585106,151.13,4.53,6.76,9,Energy,Oil & Gas Integrated,NYQ,USD
CSCO,"Cisco Systems, Inc.",303997222912,1575080595.36,20471544,76.94,2.13,1.63,9,Technology,Communication Equipment,NMS,USD
UNH,UnitedHealth Group Incorporated,298718396416,3297946008.4199996,10000746,329.77,2.68,8.62,9,Healthcare,Healthcare Plans,NYQ,USD
IBM,International Business Machines Corporation,288440582144,1649235433.6799998,5344596,308.58,2.18,6.7,9,Technology,Information Technology Services,NYQ,USD
WFC,Wells Fargo & Company,275015434240,1280471207.75,14915215,85.85,2.1,1.65,9,Financial Services,Banks - Diversified,NYQ,USD
MS,Morgan Stanley,270834335744,964696091.3,5686055,169.66,2.36,3.85,9,Financial Services,Capital Markets,NYQ,USD
CAT,Caterpillar Inc.,269731430400,1631752203.84,2834084,575.76,1.05,5.84,9,Industrials,Farm & Heavy Construction Machinery,NYQ,USD
MRK,"Merck & Co., Inc.",261842632704,1375125975.08,13117676,104.83,3.24,3.2,9,Healthcare,Drug Manufacturers - General,NYQ,USD
GS,"The Goldman Sachs Group, Inc.",250059718656,1623937643.24,1965931,826.04,1.94,13.0,9,Financial Services,Capital Markets,NYQ,USD
PM,Philip Morris International Inc.,245139456000,1029218256.52,6535549,157.48,3.73,5.52,9,Consumer Defensive,Tobacco,NYQ,USD
RTX,RTX Corporation,234514432000,800552225.58,4576938,174.91,1.56,2.62,9,Industrials,Aerospace & Defense,NYQ,USD
ABT,Abbott Laboratories,224345161728,799453139.1,6202119,128.9,1.83,2.36,9,Healthcare,Medical Devices,NYQ,USD
