,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AAPL,0.08152434736092042,0.02145690415396161,0.18486649364238972,0.06418180063468448,0.016673591396511644,0.0116193705764485,0.14632296849106544,0.1018944168763682,0.04489211516713579,0.015277296777933188
MSFT,0.08004774274838322,0.027162538520167763,0.20270715543021411,0.06599723108054525,0.07664735604422253,-0.02508901173759215,0.2233343688327899,0.10320768643102783,0.03661937397305971,-0.01574287293104209
AVGO,0.06836727339586282,-0.050174551645882165,0.19617977750212812,0.08097942023456575,0.07865819554684085,0.04730702815570851,0.1873682942041957,0.05963343484825548,0.049945415111416265,-0.13722339089456254
LLY,0.048818997769832444,0.07545203667631806,0.04263914681558359,0.11515619680697183,-0.10360773291978559,-0.14948370223851615,0.1713254026916362,-0.11642583529532496,-0.05501068035132568,-0.049382596009101665
WMT,0.057499401074135224,0.09562328586945812,0.06245215770762946,0.006930837494704717,-0.056780995517257835,-0.006644743007253068,0.0739185857266686,0.28527161244611743,-0.07739958749506029,0.06625131195131712
JPM,0.10892642609704564,-0.09095733967047828,-0.03987213073438328,-0.09037345951991294,-0.008223209765042094,-0.06297053244794817,0.08688030631772248,0.03288050817215901,-0.025509336335480814,-0.014845280080157015
ORCL,0.06131983119287405,-0.0013604694098495688,0.11494894747197237,0.04271921545828605,-0.012648935032487284,0.01427171917189488,0.18305022599291532,0.08077395681036686,-0.16505115852661156,-0.1429408269303182
JNJ,0.07480215187831175,0.12576767285169504,-0.04617521780505066,0.05102363233512025,-0.14891828555294445,-0.10372257418716194,0.029035684018103025,-0.12313775669024819,-0.02220012141891102,-0.025162825532200728
XOM,0.08620054967560002,-0.092220613916358,-0.14144905587968604,0.2446451413485779,-0.021375721121093427,0.08178465487743078,-0.01528584754189194,0.07162916007928055,0.0130061197083432,0.09959936220415241
COST,0.06834493279032715,0.08702807817174557,0.15683993826743486,0.014300913730744373,0.025193781893964262,-0.0315964955164007,0.11673446670335945,0.2512972129019228,-0.04054241087294613,0.0219420822941016
