Symbol,Total_PnL
GE,4837708.8157588085
AVGO,2956433.381421362
OXY,2021124.7507060417
LLY,2016901.218775303
ORCL,1333381.6304434822
CAH,1193991.4680818862
CTAS,957264.2593976374
FCX,903443.9354183907
NUE,675327.2079586298
NEM,543955.9681042626
MSFT,537450.5182831084
INTC,469663.922521187
GS,422184.5593654078
AAPL,384390.4194311496
MPC,353564.12330912636
WST,351433.705048259
ALL,261661.60902188977
ZION,257627.26566739447
COP,252942.54635373843
DE,209551.4116696062
MMM,206711.19219399604
WMT,189364.61145767826
MS,185452.34567749788
KEY,167232.86363334119
FITB,152197.89063568573
MTB,146512.81765037405
XOM,145842.68820953145
PNR,143901.54114490678
EOG,136581.15541639784
WFC,131657.80388035454
PM,121353.69601389987
TGT,114084.78735147012
CSCO,107798.60241636125
GPC,106169.9724991839
RF,96475.92775192868
COST,74152.0971279637
T,74087.6939526163
CAT,66419.38953089732
SPGI,53130.10699636888
UNH,49838.79920886431
AJG,48994.6969793372
SLB,43307.00282698466
MRK,40424.28043079082
BMY,40377.34347489411
AMGN,35980.777866083685
MO,28750.347756698655
AIG,28078.835843737485
BAC,27426.78103312953
NKE,25547.125107362728
ITW,20501.25850081687
LOW,17443.907385904793
ECL,16719.36270004253
MET,12948.665130519821
SJM,10321.24457357316
GD,8622.062616582609
XEL,6034.484737687606
SRE,4979.584112573377
AOS,4056.0521768686012
MCD,3697.055056811121
ABBV,2536.000372043083
TFC,-2253.284953707258
CLX,-2702.015437582907
VLO,-5781.268059843089
PFE,-8027.169695579181
EXC,-9427.344969546884
PNC,-14737.080865558393
CB,-18118.18983892603
PRU,-20831.87171198457
CMCSA,-23375.94846309684
AFL,-25385.883046585768
CVX,-29259.137215543262
CINF,-35013.139071717305
DD,-35313.189733831525
ED,-41176.904721402156
UPS,-44441.78872260664
RTX,-46684.82186813762
CFG,-47399.645304163474
WEC,-47500.069677458945
SHW,-48918.79918176751
FAST,-50412.60772326985
ATO,-50954.84950561174
LMT,-55766.43345335616
APD,-58608.998785918404
LIN,-60591.32880393647
HBAN,-65077.38066896919
BLK,-66896.22058160519
GILD,-85342.25978580056
C,-94409.79025562048
IBM,-100240.188210346
PSX,-158073.15234665133
SCHW,-228155.60104249715
JPM,-240225.2290440999
ALB,-323225.3649455034
QCOM,-331302.794869716
BRO,-348312.46884273004
